username,password,name,surname,age,nationality,language,bachelor,hobbies,interests,bio,preferences
james.turner,KBfrwCtmh,James,Turner,20,spain,spanish,BBA,cinema,joining or creating a club,I'm passionate about music and cooking. Also my dog is named after a superhero.,"interests, hobbies, bachelor"
robert.long,PuFxPabHj,Robert,Long,20,germany,german,LLB,videogames,making friends,I get my inspiration from the fictional world. I'm a social geek.,hobbies
michael.bailey,ECvpwdhqM,Michael,Bailey,19,colombia,spanish,BBABDBA,volleyball,going out or partying,I have a cat named Simon and a dog called Jon. Love the outdoors.,hobbies
laura.gray,zZwY34UK2,Laura,Gray,19,argentina,spanish,BDES,hiking,making friends,I'm a happy person with mediocre dance moves. Originally from San Diego.,"bachelor, hobbies, interests"
anthony.austin,e3pcwNgF7,Anthony,Austin,19,brazil,portuguese,BBALLB,travelling,making friends,Evil pop culture evangelist and music geek. Sometimes a troublemaker.,"bachelor, hobbies, interests"
robert.thomas,5jHXQvfTm,Robert,Thomas,18,belgium,french,BEC,singing,networking,Friend of animals everywhere. Hardcore internet enthusiast and avid reader.,"interests, hobbies, bachelor"
james.gray,NpTaF79b3,James,Gray,19,united states,english,BCSAI,cycling,going out or partying,Passionate tv nerd and lifelong web junkie. I love sleeping.,"hobbies, interests, bachelor"
daniela.meyer,u72763d3u,Daniela,Meyer,21,germany,german,BCDM,cooking,joining or creating a club,Aspiring creative writer. I like spicy food and good people.,"hobbies, age, nationality"
eleanor.murphy,shXJ2WaDv,Eleanor,Murphy,18,italy,italian,BDES,cooking,making friends,I love creating music,"hobbies, interests, bachelor"
harvey.garcia,CCu5bRsr6,Harvey,Garcia,19,colombia,spanish,PPLEBDBA,painting,making friends,Originally from New York. I love golfing,"hobbies, age, nationality"
sophie.rice,PZRsQd3XY,Sophie,Rice,18,argentina,spanish,BCSAI,volleyball,joining or creating a club,I'm a happy person with a love for food. Originally from Michigan.,"hobbies, language, interests"
lauren.mccartney,J4zA4asG3,Lauren,McCartney,19,india,hindi,BIR,basketball,making friends,Passionate tv nerd and lifelong web junkie. I love sleeping.,"nationality, hobbies, interests"
derek.wood,wmejn7XNk,Derek,Wood,21,south africa,english,BBALLB,theatre,joining or creating a club,I'm a happy person with mediocre dance moves. Originally from San Diego.,"hobbies, interests"
kenzo.kranz,t65729c2t,Kenzo,Kranz,17,italy,italian,BBA,painting,making friends,Food geek. Subtly charming beer lover. Award-winning twitter specialist.,"hobbies, interests"
tyler.rogers,yNbeMqMxd,Tyler,Rogers,19,lebanon,arabic,BAS,running,joining or creating a club,Amateur writer and beer guru. Love staying inside.,hobbies
tiffany.stewart,vD3z9Nkde,Tiffany,Stewart,19,germany,german,BDBA,photography,organising an event,Social media lover and beer specialist. Love cats.,hobbies
marie.crawford,pZhk5ECn2,Marie,Crawford,21,france,french,BAS,reading,joining or creating a club,Wannabe surfer. Sometimes I read books and watch movies at the same time.,"interests, hobbies, age"
leonardo.allen,gMm3FeVzD,Leonardo,Allen,20,italy,italian,PPLE,writing,making friends,Originally from New York City. Sports and music enthusiast.,"interests, hobbies, nationality"
freddie.rice,WDbWtxDzh,Freddie,Rice,21,argentina,spanish,PPLE,singing,making friends,Friend of animals everywhere. Hardcore internet enthusiast and avid reader.,interests
william.crawford,RcFZXajwX,William,Crawford,18,russia,russian,BEC,basketball,networking,Aspiring creative writer. I like spicy food and good people.,"hobbies, bachelor"
kelly.fox,yqPGvUufX,Kelly,Fox,21,colombia,spanish,BDBA,basketball,making friends,Avid food geek. I love running,"hobbies, bachelor"
estella.bayer,iuSNd873AG,Estella,Bayer,17,spain,spanish,PPLE,boxing,making friends,Hardcore coffee nerd and twitter junkie. Proud gamer.,"interests, hobbies, age"
peter.stephens,mARunfFYj,Peter,Stephens,21,portugal,portuguese,BIR,hiking,making friends,I'm passionate about travelling and cooking. Also my cat is named Zeus.,hobbies
victor.jackson,vnN67mUZ7,Victor,Jackson,19,france,french,BCDM,surf,making friends,I'm a happy person with mediocre dance moves. Originally from San Diego.,"interests, hobbies, nationality"
lindsey.dixon,5XBa6Y4aa,Lindsey,Dixon,20,australia,english,BCDM,football,networking,I'm passionate about music and cooking. My dog is named after a superhero.,"nationality, bachelor, interests"
shane.dixon,3fE7xMZmd,Shane,Dixon,19,south africa,english,BCSAI,boxing,organising an event,Originally from Berlin. I love dubstep,"interests, hobbies, nationality"
steve.jenkins,GXBdZHrVs,Steve,Jenkins,18,portugal,portuguese,PPLE,reading,making friends,Wannabe surfer,"nationality, bachelor, interests"
dominick.treece,eYFkK5Hus,Dominick,Treece,19,united states,english,BBABDBA,photography,networking,Professional twitter nerd. Internet practitioner. Extreme creator.,"interests, bachelor, hobbies"
johnny.cruz,Zbon7802ak,Johnny,Cruz,19,lebanon,arabic,BCSAI,cooking,going out or partying,Good communicator and coffee specialist. I also have a passion for music.,"age, hobbies"
matthew.hill,2ZfbNQkxB,Matthew,Hill,19,argentina,spanish,BIR,travelling,organising an event,Social media scholar. Twitteraholic. Tv fanatic. Beer ninja.,"bachelor, hobbies"
alexane.moor,KeoUs7N2pJ8,Alexane,Mohr,21,nigeria,english,BBABDBA,surf,making friends,I like minimalist furniture and comfortable chairs. Love orange juice.,"interests, hobbies, bachelor"
titus.goldner,LjysUYSn21H,Titus,Goldner,19,germany,german,BIR,cycling,making friends,I love playing chess,"bachelor, hobbies"
daniel.griffin,McdPVbuVx,Daniel,Griffin,19,russia,russian,LLB,theatre,making friends,I like minimalist furniture and comfortable chairs. Love orange juice.,"interests, hobbies, bachelor"
shawn.murphy,TuHZnTbws,Shawn,Murphy,21,argentina,spanish,LLB,surf,making friends,Extreme introvert. Travel evangelist. Thinker. Freelance music expert.,"interests, hobbies, bachelor"
amanda.hart,vGYErKY7A,Amanda,Hart,20,portugal,portuguese,BAS,boxing,making friends,Originally from Miami. I love black and white classics,"bachelor, hobbies"
clara.price,wPSEkk9eW,Clara,Price,19,italy,italian,PPLEBDBA,football,making friends,Passionate tv nerd and lifelong web junkie. I love sleeping.,"bachelor, hobbies"
natalie.barnett,JFQvqNwWM,Natalie,Barnett,17,portugal,portuguese,BCSAI,reading,organising an event,Born and raised in Sydney. I have a thing for simplicity.,interests
rachel.scott,e3pcwNgF7,Rachel,Scott,21,mexico,spanish,BDES,football,going out or partying,Amateur writer and beer guru. Love staying inside.,"interests, hobbies"
sarah.west,ko2and9naA,Sarah,West,18,italy,italian,BAS,football,making friends,Extreme social media practitioner and web enthusiast. I love bacon.,"hobbies, age"
jordan.wunsch,dJhYa2Ks8,Jordan,Wunsch,19,china,mandarin,LLB,running,networking,I have a passion to music,"interests, hobbies"
rebecca.rice,DXhPuMSgr,Rebecca,Rice,21,lebanon,arabic,PPLE,volleyball,going out or partying,I'm a happy person that loves cats and climbing on mountains.,"language, hobbies, interests"
elisabeth.goodwin,3Yd7NZhcD,Elisabeth,Goodwin,17,france,french,BBA,cycling,joining or creating a club,I have a passion for baking. Tea drinker. Ice cream lover.,age
martin.reed,zxXP4WqZK,Martin,Reed,19,france,french,BBA,basketball,joining or creating a club,Dreamer who loves tee shirts,"language, hobbies, interests"
freddie.cole,eVHfBAjws,Freddie,Cole,18,united states,english,BIR,basketball,going out or partying,I love creating music,age
michael.martin,4ZBr3fvcp,Michael,Martin,17,colombia,spanish,LLB,boxing,joining or creating a club,Aspiring creative writer. I like spicy food and good people.,"hobbies, interests"
victor.james,3fWga2gac,Victor,James,17,belgium,french,BBABIR,photography,going out or partying,Avid consumer of Chinese food and old movies. Old soul.,"hobbies, age, bachelor"
derek.jackson,FGcRQWrVs,Derek,Jackson,20,united kingdom,english,BBABDBA,cinema,making friends,Originally from New York City. Sports and music enthusiast.,"hobbies, interests"
gerald.hernandez,A5r3paUb2,Gerald,Hernandez,21,france,french,BIR,travelling,making friends,I love creating music,"hobbies, age, bachelor"
rachel.bennett,AC2fQQZux,Rachel,Bennett,21,australia,english,BEC,hiking,going out or partying,Musicaholic. Troublemaker. Pop culture expert. Coffee practitioner.,"hobbies, age"
oliver.andrews,Vj8vFDY3W,Oliver,Andrews,20,brazil,portuguese,BEC,cooking,making friends,General beer nerd. Future teen idol. Web enthusiast. Typical tv junkie,"nationality, hobbies"
marie.davies,3cCQXgvTv,Marie,Davies,17,germany,german,BBA,reading,going out or partying,Born and raised in Sydney. I have a thing for simplicity.,"nationality, interests"
raymond.gray,PwpfPSCfv,Raymond,Gray,19,mexico,spanish,BBABIR,writing,joining or creating a club,I love creating music,"hobbies, age"
taylor.williams,9TnCM5sjW,Taylor,Williams,19,brazil,portuguese,PPLE,cinema,making friends,Wannabe surfer,"nationality, hobbies"
monica.wilson,j4KE4mKVB,Monica,Wilson,19,france,french,BBA,football,organising an event,Tv lover and hardcore bacon geek. I have a cat named Confucius.,"nationality, interests"
amanda.anderson,ZnNmqRvwx,Amanda,Anderson,17,spain,spanish,BBALLB,theatre,networking,Deep thinker. Like talking about the world,interests
gemma.peterson,8qXSX9Gyn,Gemma,Peterson,21,lebanon,arabic,BEC,cooking,joining or creating a club,I have a huge passion for food,"bachelor, hobbies"
austin.pittman,vU4YarykW,Austin,Pittman,17,china,mandarin,BIR,football,making friends,Proud organizer. Passionate twitter fan. Internet scholar. Coffee nerd. Reader.,"nationality, interests, language"
amanda.gibson,Wxp37PYfr,Amanda,Gibson,18,italy,italian,PPLE,theatre,making friends,I am based in Toronto,"nationality, interests, language"
charles.edwards,aK7MV5c6t,Charles,Edwards,21,australia,english,BDBA,hiking,joining or creating a club,Total entrepreneur. Student. Extreme introvert. Troublemaker. Devoted analyst.,"hobbies, bachelor, interests"
harold.rivera,3PfDCmSnH,Harold,Rivera,19,brazil,portuguese,BDBA,running,making friends,I'm a happy person with a love for food. Originally from Michigan.,"hobbies, bachelor, interests"
patrice.bester,rJtW66sAR,Patrice,Bester,17,spain,spanish,LLB,cinema,going out or partying,I like coming up with big ideas and then bring them to life. Love good music.,"interests, hobbies, nationality"
jesse.adams,VqU8JnPZ4,Jesse,Adams,18,mexico,spanish,LLB,basketball,going out or partying,Originally from Chicago. I love playing tennis and loud music.,"interests, hobbies, nationality"
willard.weisser,nPHedtZxY,Willard,Weisser,17,russia,russian,BCDM,running,joining or creating a club,Originally from California. Half gamer and wine drinker.,"language, interests"
brenda.baker,vMz8ZGfuX,Brenda,Baker,18,mexico,spanish,BAS,football,going out or partying,Currently in love with cycling. Obsessed with creating helpful stuff.,"language, interests"
jalen.padberg,bTUyYBNdm,Jalen,Padberg,21,portugal,portuguese,BBABIR,writing,joining or creating a club,Born and raised in Sydney. I have a thing for simplicity.,"hobbies, interests, language"
sophie.riley,J7qVrPvRN,Sophie,Riley,18,united states,english,BEC,videogames,going out or partying,Avid consumer of chocolate. I also like running,"hobbies, interests, language"
michelle.webb,Y9qeC3RSf,Michelle,Webb,21,nigeria,english,BBA,football,organising an event,Originally from California. Half gamer and wine drinker.,"interests, nationality"
juan.cruz,fH6wWdcMQ,Juan,Cruz,21,united kingdom,english,BDES,running,going out or partying,I am based in Toronto,"interests, nationality"
christopher.dabrowski,a18515a0a,Christopher,Dabrowski,20,united kingdom,english,BEC,travelling,going out or partying,Extreme social media buff. Music scholar. Coffee guru. Writer.,"interests, hobbies"
paige.wilson,xqf6SBFRX,Paige,Wilson,18,mexico,spanish,BBA,videogames,going out or partying,Originally from New York. I love golfing,interests
jake.andrews,xbQMxDcZm,Jake,Andrews,18,brazil,portuguese,BBABIR,cooking,making friends,Wannabe surfer,"interests, hobbies"
anna.dunn,6NNU7qJVs,Anna,Dunn,20,spain,spanish,BBABDBA,theatre,organising an event,Geek that loves minimal and harmonious designs. I'm learning Japanese.,"interests, hobbies"
lindsey.king,PCnvSvECn,Lindsey,King,19,lebanon,arabic,BIR,painting,going out or partying,I have a passion to music,"nationality, bachelor, interests"
jessie.coleman,wE2WCtsqC,Jessie,Coleman,18,germany,german,BBA,singing,going out or partying,Originally from Madrid,"nationality, hobbies, interests"
melissa.wright,kv6Xuz2Au,Melissa,Wright,18,spain,spanish,BIR,football,going out or partying,I'm a happy person that loves cats and climbing on mountains.,"age, interests, hobby"
harry.phillips,eXSF6TAjt,Harry,Phillips,18,peru,spanish,LLB,writing,making friends,Originally from Berlin. I love dubstep,"age, interests, hobby"
